id;modelo;marca;km;anno;precio;patente
1;mobile Fish;Home Loan Account Table Computer;5808;2022-11-22T00:24:31;86617;Savings Account alarm
2;Tasty Metal Bacon;red Chips Soap;30424;2022-11-21T20:45:04;52475;web-readiness
3;Namibia;Steel zero administration;36636;2022-11-22T05:50:39;45606;bluetooth
4;syndicate;Mississippi Refined Rubber Chicken Table;6505;2022-11-22T11:06:44;94888;Planner cross-platform access
5;Public-key;infomediaries;12203;2022-11-21T20:47:27;49517;Games Regional Digitized
6;copy convergence;Mayotte;18485;2022-11-22T10:40:44;96958;connect Markets Chief
7;capacitor archive;sky blue Tasty Plastic Pizza;38867;2022-11-21T17:29:42;27134;generating compelling
8;Home Loan Account;Plastic;80219;2022-11-22T07:27:51;7455;Administrator
9;reinvent 24 hour Jewelery;monitor;72900;2022-11-21T16:27:59;77127;Unbranded Plastic Tuna Frozen
10;generating Highway Ergonomic;moratorium moratorium;72960;2022-11-21T21:14:22;63755;COM
